Name;Department;Latitude;Longitude;Cover_url;Link;Label
La Garde-Guérin;Lozère;44.4775;3.9349;https://media.les-plus-beaux-villages-de-france.org/photos/s1639/la-garde-guerin-vue-aerienne.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/la-garde-guerin/;Les Plus Beaux Villages de France
Lagrasse;Aude;43.0911;2.6216;https://media.les-plus-beaux-villages-de-france.org/photos/s1707/lagrasse-vue-haute.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/lagrasse/;Les Plus Beaux Villages de France
La Grave;Hautes-Alpes;45.0459;6.3062;https://media.les-plus-beaux-villages-de-france.org/photos/s1644/la-grave-eglise-et-montagne.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/la-grave/;Les Plus Beaux Villages de France
La Roche-Guyon;Val-d'Oise;49.0815;1.6298;https://media.les-plus-beaux-villages-de-france.org/photos/s1605/la-roche-guyon-chateau.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/la-roche-guyon/;Les Plus Beaux Villages de France
La Romieu;Gers;43.9821;0.498529167;https://media.les-plus-beaux-villages-de-france.org/photos/s2827/la-romieu-vue-tour-clocher-depuis-le-cloitre.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/la-romieu/;Les Plus Beaux Villages de France
La Roque-Gageac;Dordogne;44.8263;1.1834;https://media.les-plus-beaux-villages-de-france.org/photos/s1727/la-roque-gageac-vue-dordogne-et-village.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/la-roque-gageac/;Les Plus Beaux Villages de France
La Roque-sur-Cèze;Gard;44.1936;4.5197;https://media.les-plus-beaux-villages-de-france.org/photos/s1659/la-roque-sur-ceze-vue-densemble.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/la-roque-sur-ceze/;Les Plus Beaux Villages de France
Larressingle;Gers;43.9452;0.3113;https://media.les-plus-beaux-villages-de-france.org/photos/s1708/larressingle-vignes-et-village.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/larressingle/;Les Plus Beaux Villages de France
Lautrec;Tarn;43.7058;2.1392;https://media.les-plus-beaux-villages-de-france.org/photos/s1709/lautrec-place.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/lautrec/;Les Plus Beaux Villages de France
Lauzerte;Tarn-et-Garonne;44.2557;1.1384;https://media.les-plus-beaux-villages-de-france.org/photos/s1716/lauzerte-au-coucher-du-soleil.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/lauzerte/;Les Plus Beaux Villages de France
Lavardens;Gers;43.7607;0.5147;https://media.les-plus-beaux-villages-de-france.org/photos/s1710/lavardens-vue-densemble.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/lavardens/;Les Plus Beaux Villages de France
Lavardin;Loir-et-Cher;47.7423;0.8864;https://media.les-plus-beaux-villages-de-france.org/photos/s1598/lavardin-vue-village.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/lavardin/;Les Plus Beaux Villages de France
Lavaudieu;Haute-Loire;45.2628;3.4541;https://media.les-plus-beaux-villages-de-france.org/photos/s1645/lavaudieu-pont-sur-la-senouire-et-abbaye.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/lavaudieu/;Les Plus Beaux Villages de France
Le Bec-Hellouin;Eure;49.2318;0.7217;https://media.les-plus-beaux-villages-de-france.org/photos/s1592/le-bec-hellouin-rue-et-facades.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/le-bec-hellouin/;Les Plus Beaux Villages de France
Le Poët-Laval;Drôme;44.5369454826;5.01399923019;https://media.les-plus-beaux-villages-de-france.org/photos/s1657/le-poet-laval-vestiges-commanderie.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/le-poet-laval/;Les Plus Beaux Villages de France
Les Baux-de-Provence;Bouches-du-Rhône;43.7436;4.796;https://media.les-plus-beaux-villages-de-france.org/photos/s1635/les-baux-de-provence-vue-minerale.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/les-baux-de-provence/;Les Plus Beaux Villages de France
Limeuil;Dordogne;44.8857;0.89;https://media.les-plus-beaux-villages-de-france.org/photos/s1711/limeuil-vue-village-et-dordogne.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/limeuil/;Les Plus Beaux Villages de France
Locronan;Finistère;48.0996;-4.2076;https://media.les-plus-beaux-villages-de-france.org/photos/s1599/locronan-place-de-leglise.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/locronan/;Les Plus Beaux Villages de France
Lods;Doubs;47.0448;6.2486;https://media.les-plus-beaux-villages-de-france.org/photos/s1621/lods-tombee-de-la-nuit.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/lods/;Les Plus Beaux Villages de France
Loubressac;Lot;44.8713;1.8035;https://media.les-plus-beaux-villages-de-france.org/photos/s1712/loubressac-vue-village-et-vallee.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/loubressac/;Les Plus Beaux Villages de France
Lourmarin;Vaucluse;43.7634;5.363;https://media.les-plus-beaux-villages-de-france.org/photos/s1646/lourmarin-vue-printaniere.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/lourmarin/;Les Plus Beaux Villages de France
Lussan;Gard;44.1531;4.366729167;https://media.les-plus-beaux-villages-de-france.org/photos/s1647/lussan-vue-paysahes-depuis-remparts.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/lussan/;Les Plus Beaux Villages de France
Lyons-la-Forêt;Eure;49.3992;1.4768;https://media.les-plus-beaux-villages-de-france.org/photos/s1600/lyons-la-foret-place.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/lyons-la-foret/;Les Plus Beaux Villages de France
Ménerbes;Vaucluse;43.8327;5.2073;https://media.les-plus-beaux-villages-de-france.org/photos/s1648/menerbes-vue-toits.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/menerbes/;Les Plus Beaux Villages de France
Minerve;Hérault;43.3539;2.7467;https://media.les-plus-beaux-villages-de-france.org/photos/s1713/minerve-vue-route-et-pont.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/minerve/;Les Plus Beaux Villages de France
Mirmande;Drôme;44.6985;4.8356;https://media.les-plus-beaux-villages-de-france.org/photos/s1649/mirmande-vue-generale.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/mirmande/;Les Plus Beaux Villages de France
Mittelbergheim;Bas-Rhin;48.3957;7.442;https://media.les-plus-beaux-villages-de-france.org/photos/s1622/mittelbergheim-vue-densemble.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/mittelbergheim/;Les Plus Beaux Villages de France
Moncontour;Côtes-d'Armor;48.3597;-2.6326;https://media.les-plus-beaux-villages-de-france.org/photos/s1601/moncontour-vue-maisons-et-eglise.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/moncontour/;Les Plus Beaux Villages de France
Monestiés;Tarn;44.0712;2.097829167;https://media.les-plus-beaux-villages-de-france.org/photos/s1714/monesties-vue-densemble.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/monesties/;Les Plus Beaux Villages de France
Monflanquin;Lot-et-Garonne;44.532;0.7685;https://media.les-plus-beaux-villages-de-france.org/photos/s1715/monflanquin-arcade-voute-en-ogive.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/monflanquin/;Les Plus Beaux Villages de France
Monpazier;Dordogne;44.6805;0.8945;https://media.les-plus-beaux-villages-de-france.org/photos/s1717/monpazier-place-des-arcades-et-terrasses.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/monpazier/;Les Plus Beaux Villages de France
Montbrun-les-Bains;Drôme;44.1756;5.4431;https://media.les-plus-beaux-villages-de-france.org/photos/s1650/montbrun-les-bains-vue-densemble.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/montbrun-les-bains/;Les Plus Beaux Villages de France
Montclus;Gard;44.2602;4.420729167;https://media.les-plus-beaux-villages-de-france.org/photos/s1651/montclus-vue-lavandes.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/montclus/;Les Plus Beaux Villages de France
Montpeyroux;Puy-de-Dôme;45.6228;3.2048;https://media.les-plus-beaux-villages-de-france.org/photos/s1652/montpeyroux-vue-aerienne.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/montpeyroux/;Les Plus Beaux Villages de France
Montréal;Gers;43.9497;0.2033;https://media.les-plus-beaux-villages-de-france.org/photos/s1718/montreal-facades-a-colombages.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/montreal/;Les Plus Beaux Villages de France
Montrésor;Indre-et-Loire;47.1555;1.2014;https://media.les-plus-beaux-villages-de-france.org/photos/s1602/montresor-vue-riviere-et-chateau.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/montresor/;Les Plus Beaux Villages de France
Montsoreau;Maine-et-Loire;47.2167;0.0575;https://media.les-plus-beaux-villages-de-france.org/photos/s1603/montsoreau-vue-chateau-et-village.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/montsoreau/;Les Plus Beaux Villages de France
